states,year,y,Slim,abdominal,apnea,autoregression data,calories,cholesterol,diabetic,diet,dietary,dresses plus size,exercise,food delivery near me,gastric,healthy,how to lose weight,inactivity,insulin,malnutrition,mcdonalds menu,mcdonalds near me,meals,nutrition,obese,pizza delivery,symptoms of  high blood sugar,symptoms of congestive heart failure,unhealthy,visceral,weighing,weight loss,wellness
New Mexico,2015,28.8,79.87799036998402,106.72393530303641,108.11491867556963,28.4,81.32257486415074,87.39757386061895,89.44388129760621,69.59443384812212,86.19896033075489,64.68089015570703,96.62601555557518,873.6415329420163,85.5644887478308,93.38419069555172,69.18436715394468,116.29682856345582,92.2049944526296,60.84005368567718,50.60251766322204,843.5066637892783,98.75546707424358,58.07566186074498,79.8770383362892,102.35137166296651,0.0,0.0,96.01437232889494,114.96106801962713,78.96220501510493,84.72211736270066,67.0302789582008
New York,2015,25,85.20318972798296,85.10896106444676,75.57012172731142,27,99.14670086177281,80.25186027453061,62.16666927067666,60.84303797500496,60.67953128546561,75.72396896277897,81.40009795287848,1120.8985705671153,72.35654753172268,94.69026329269231,56.10683433826001,80.51318900546941,66.99787366701864,54.46633377574909,45.70549982484571,1438.923132346416,76.53548698253877,55.33192980433183,68.87947508708997,77.74767655167649,49.7206578049113,48.94151795421333,99.70723280308322,97.03703053269602,75.3730138780547,74.41807606183166,34.82945867435924
North Carolina,2015,30.1,82.54059004898349,93.21457640391787,86.05064955810644,29.7,84.10759455127919,89.0465846881778,82.4659898488568,65.8438356167862,72.58859817326727,88.34463045657547,91.9411178316685,1318.7042006671945,81.54468055162398,91.42508179984085,65.38766407842331,84.24065145942633,88.88826803347027,75.90520983641629,63.66123189889224,1488.541171392844,105.33916487919315,58.532950536813836,77.56176186277358,109.24040629412772,91.04691883756485,96.04772898514366,97.49151651857025,90.85632795099563,83.74779319783856,91.01903149100949,49.94412941983589
North Dakota,2015,31,85.20318972798296,113.47861475259567,88.80868319778934,32.2,109.72977567286092,100.95610733349059,89.44388129760621,77.51236344760906,110.58419252958686,80.45671702295266,101.31091327948185,675.8359028419371,104.51501310137722,127.34207822120689,76.77777330498738,0.0,108.7886265484263,74.74635167097482,58.76421406051591,463.1016977666626,151.42504951384015,91.45773521377161,80.45585745466812,174.1941613879334,0.0,0.0,114.47867469983628,101.98159259805632,113.65771933992377,105.33019996443865,131.4319195258839
Ohio,2015,29.8,79.21234045023415,101.99565968834493,87.1538630139796,32.6,96.91868511207005,92.3446063432955,85.63775868919744,66.6773018904164,83.36346821461163,83.61188239640178,89.01305675422684,1285.7365956505146,74.07932247295417,101.22062627839523,61.16910510562181,99.89599376604538,91.54164916879773,84.5966460772273,76.17583304140952,1157.7542444166565,103.69324042795576,70.42245611460415,83.92877216494156,99.39892824961171,74.25812529304935,83.20058052216267,99.70723280308322,100.12738182354622,86.14058728920538,87.01190431844933,44.68685263880053
Oklahoma,2015,33.9,95.85358844398083,99.29378790852122,94.32475047715513,33,104.15973629860403,84.6492224813542,90.07823506567433,70.42790012175232,65.21631867129481,76.51276030614126,87.25622010776183,1368.1556081922142,86.71300537531846,94.69026329269231,61.16910510562181,61.87587673568483,84.24485104664718,57.363479189352766,63.66123189889224,1620.855942183319,105.33916487919315,73.1661881710173,87.401686875215,130.89165799206296,104.6070982389043,0.0,96.7529444237326,89.00211717648553,78.36400649226323,92.73637170782098,44.68685263880053
Oregon,2015,30.1,55.24894333923895,52.68649970656228,46.334965146672694,27.9,43.446307119203816,42.14138781722502,38.69557985215588,41.67331368151025,40.26398804923419,27.607697017679833,53.876323824926764,510.99787775853787,33.88124051088602,48.32468609420159,26.998777425929628,47.71151941064854,46.43416986823073,53.30747561030762,22.852749912422855,413.4836587202345,48.55477131150309,29.266475268406918,42.25379564166023,69.87449411606367,31.640418603125372,0.0,53.17719082831105,59.33474478432368,47.25768330449462,37.20903803091583,26.9435435028062
Pennsylvania,2015,30,75.88409085148483,102.67112763330086,90.46350338159907,30.2,100.81771267404989,92.1613829198434,80.56292854465241,65.8438356167862,75.42409028941053,77.30155164950354,92.52673004715683,1170.3499780921352,84.99023043408697,99.91455368125465,62.43467279746226,101.38697874762815,86.23488689814279,68.37263176104673,51.14663075637496,1157.7542444166565,99.57842929986228,64.02041464964013,78.14058098115248,103.33551946741811,72.32095680714372,91.76534616415,104.87723746694678,99.50931156537618,77.16760944657982,84.72211736270066,45.34401223642995
Rhode Island,2015,26,81.20929020948375,99.29378790852122,88.80868319778934,27,95.80467723721868,90.87881893918873,71.04762202363047,67.51076816404661,87.33315717721219,67.04726418579388,94.28356669362184,1549.4774357839535,77.52487235541716,104.48580777124668,61.16910510562181,96.16853131208846,79.60143405982411,71.2697771746504,46.24961291799863,1174.2935907654658,89.70288259243792,66.76414670605328,80.45585745466812,130.89165799206296,0.0,0.0,130.72726078626465,101.98159259805632,90.92617547193902,81.85988366801482,40.086735455394596
South Carolina,2015,31.7,84.53753980823309,98.6183199635653,79.43136882286748,32.1,79.09455911444797,82.26731795449031,90.07823506567433,65.01036934315599,64.64922024806616,111.21957941408162,81.98571016836682,1532.9936332756135,70.05951427674736,90.77204550127055,69.18436715394468,82.00417398705218,79.60143405982411,53.30747561030762,58.22010096736299,2265.890449786885,109.45397600728663,49.38717701543668,79.2982192179103,125.97091896980494,88.464027523024,0.0,76.81149786311596,79.73106330393495,78.36400649226323,89.30169127419799,55.20140620087124
South Dakota,2015,30.4,78.54669053048428,135.09358899118533,95.4279639330283,29.8,105.27374417345541,100.40643705763765,99.59354158669628,81.26296167894499,107.7487004134436,82.8230910530395,104.23897435692352,494.51407525019795,84.99023043408697,119.5056426383634,73.82478202402633,0.0,126.69894921188671,110.6709547996604,65.83768427150393,777.3492783940408,147.31023838574666,83.68382772060103,112.86972808388693,107.27211068522452,0.0,0.0,133.68154916561528,116.1972085359672,114.85411638560717,96.74349888038115,112.37429119463074
Tennessee,2015,33.8,85.20318972798296,115.50501858746345,96.53117738890145,31.2,92.46265361266454,94.17684059430643,98.95918781862815,73.76176521627315,67.48471236420941,106.48683135390793,85.49938346129683,1285.7365956505146,93.0298468265006,89.46597290412997,68.76251125666452,93.18656134892294,96.84841143945268,82.27892974634437,68.55824973726857,1488.541171392844,107.80805155604924,62.648548621433555,82.77113392818374,117.11358872974053,106.54426672480993,122.35379488553333,91.58293975986902,88.38404691831549,79.56040353794664,103.04041300868998,42.71537384591227
Texas,2015,32.4,101.17878780197977,87.81083284427046,78.8797620949309,31.9,86.33561030098195,80.25186027453061,78.02551347237988,62.926703659080474,60.11243286223696,74.93517761941669,77.30081244446015,3296.7605016679863,79.82190561039249,86.8538277098488,62.012816900182116,83.49515896863495,72.30463593767357,57.9429082720735,57.131874781057135,2249.3511034380754,96.28658039738748,60.36210524108927,70.6159324422267,115.14529312083732,74.25812529304935,69.741663084754,87.1515071908431,81.58527407844507,79.56040353794664,84.14967062376348,34.82945867435924
Utah,2015,24.5,77.21539069098456,83.75802517453491,94.87635720509171,25.7,96.91868511207005,79.1525197228247,71.04762202363047,63.76016993271068,84.49766506106893,50.48264597518598,97.21162777106352,1219.801385617155,64.31693113930905,99.91455368125465,59.903537413781365,117.04232105424721,82.91816047898345,75.90520983641629,53.32308312898666,1091.596859021419,117.6835982634736,70.42245611460415,79.8770383362892,114.16114531638573,47.78348931900567,0.0,104.13866537210913,100.12738182354622,68.79283012679596,80.71499019014048,42.05821424828285
Vermont,2015,25.1,75.21844093173496,112.12767886268382,92.66993029334539,24.8,99.14670086177281,74.38871066360025,69.14456071942608,73.34503207945804,87.90025560044084,71.78001224596757,104.23897435692352,626.3844953169174,63.74267282556522,130.60725971405836,57.37240203010046,0.0,90.214958601134,97.34408589708349,43.52904745223401,694.6525466499938,122.62137161718577,58.99023921288269,100.13570747955096,79.7159721605797,0.0,0.0,120.3872514585375,116.81527879413724,80.15860206078834,83.57722388482632,71.63039614160674
Virginia,2015,29.2,68.56194173423629,67.54679449559266,59.57352661715061,28.5,59.59942130454883,56.98248526525465,52.01700898158659,47.92431073373679,47.06916912797799,48.90506328846142,76.12958801348347,1071.4471630420956,51.108989923200944,64.65059355845888,41.76373383073489,70.82178662518143,52.40427742271754,66.63434451288452,34.82323796178721,992.3607809285627,64.19105359825832,41.15598084619723,52.67253977248057,80.70011996503129,47.78348931900567,40.988521286653665,70.16434900957708,64.89737710785403,61.61444785269552,57.24467389371666,27.60070310043562
Washington,2015,26.4,74.5527910119851,87.13536489931454,86.60225628604302,27.3,93.57666148751592,77.86995574766672,64.06973057488105,63.76016993271068,65.78341709452347,52.06022866191054,80.81448573739014,1021.9957555170757,58.574348001870746,90.77204550127055,49.77899587905775,96.91402380287985,73.63132650533731,66.63434451288452,47.88195219745741,1223.911629811894,92.9947314949127,58.07566186074498,79.2982192179103,140.73313603657897,56.17788609126342,0.0,98.96866070824555,101.36352233988629,70.58742569532107,80.14254345120332,44.02969304117111
West Virginia,2015,35.6,84.53753980823309,129.014377486582,107.56331194763304,35.7,96.91868511207005,108.46826776648311,126.87075361362584,80.01276226849967,88.46735402366949,127.78419762468951,100.13968884850519,576.9330877918976,114.85166274876617,95.34329959126259,84.37117945603009,96.91402380287985,122.05553222506364,83.43778791178585,94.67567820860897,826.967317440469,112.74582490976141,63.563125973571275,108.81799425523458,70.85864192051528,0.0,0.0,110.78581422564801,111.2526464706069,110.06852820287355,114.48934778743332,45.34401223642995
Wisconsin,2015,30.7,68.56194173423629,99.96925585347715,86.60225628604302,31.2,95.247673299793,84.28277562895335,72.95068332783485,62.50997052226538,83.36346821461163,82.8230910530395,86.08499567678516,1021.9957555170757,60.29712294310224,101.22062627839523,56.52869023554016,102.13247123841954,86.89823218197466,79.96121341546143,69.10236283042148,1157.7542444166565,107.80805155604924,66.30685802998443,81.61349569142592,121.05017994754694,65.8637285207916,0.0,105.61580956178443,93.32860898367579,93.31896956330583,78.99764997332899,55.85856579850066
Wyoming,2015,29,88.5314393267323,114.82955064250753,99.28921102858435,29.5,101.37471661147558,93.81039374740224,84.36905115306118,80.84622854212988,77.12538555909647,0.0,101.31091327948185,791.2225204003166,97.04965502270741,112.32224335409019,76.77777330498738,0.0,99.50179257478014,108.93266755149818,54.41130931529251,628.4951612547563,164.59244512373928,63.563125973571275,107.66035601847676,116.12944092528893,0.0,0.0,89.36722347535606,71.07807968955441,111.26492524855695,102.46796626975282,72.94471533686557
Alabama,2016,35.7,92.27890367142315,110.90594376535762,100.6585537102682,35.6,89.557732910794,102.10667394253947,109.48283200509414,74.70758599623547,74.14813514988332,123.23223068000394,95.04371301349538,1761.2840770403461,108.01292690758348,89.8893778408527,69.38163318754928,104.6874226381738,100.7468118293533,86.84846893394577,69.70298541405496,1436.0390256387964,124.78833434480295,59.98083399440566,78.27700418205758,80.95112514789847,112.43746206155379,0.0,94.02999151052394,101.15956818060606,79.26907986080492,104.21643086674956,58.85572352277647
Alaska,2016,31.4,83.43024167553327,106.66750005457962,106.01906840489785,29.8,95.08598802874425,82.03946634689588,84.60037018575457,73.89993641789778,68.11983147916109,79.10176969324577,98.45845719362096,1621.1819345485005,80.40962336453437,108.12780233030108,60.70892903910563,0.0,89.25220913741367,92.86105524475741,47.81279164765754,902.1270802089874,122.03565049896172,54.40122152980978,91.03325671542993,199.87932135283572,0.0,0.0,137.42844913076576,107.48204119189394,109.31461819514227,86.57132087872847,46.53708371568372
Arizona,2016,29,76.47772153590549,101.01624177354229,94.70242627179078,28.4,91.21620944617908,92.66328213282483,88.86593506906992,68.24638936953401,78.36794771938887,58.28551451081267,88.2142246532442,2741.999074483266,76.80919246761492,97.70584547918773,57.673482587150346,95.61451267619874,96.01374013267228,94.19718553604888,57.60577306946691,2098.826268241318,106.43710870586135,66.9553495751505,81.75598214570458,140.91492155374917,76.38881010288769,0.0,108.49614405060454,106.77954419063974,81.82614695308895,89.32836931435676,51.32766586288646
Arkansas,2016,35.7,126.40945708414131,105.96109276944995,85.76823511407467,34.5,88.45208188720395,92.66328213282483,112.32654192730439,71.47698768288474,96.45285873155552,97.4200742537869,83.66123241307676,1541.123567410303,95.41141876836541,89.8893778408527,67.64709235786056,83.74993811053903,96.68989323219814,95.53331582734035,70.85510087544431,1638.5573497673445,125.70589562675003,56.26109235134174,94.51223467907693,92.9438844290686,127.02858309244245,0.0,99.09314489955214,94.83709516931819,102.28268369136119,93.73964681136204,41.74650156848099
California,2016,25,76.47772153590549,76.29198679400396,79.21649493174952,24.2,95.08598802874425,77.31777044203857,63.27254576917778,57.34312006197533,59.68020634014998,45.79576140135281,79.67736420293025,1781.2986688248955,56.40675071840471,93.14623935682563,51.60258968323978,87.93743501606599,73.70068784831886,63.46618883634499,47.81279164765754,1969.9509710686052,81.66295409329017,58.1209631728737,65.52075164868523,108.93423013729546,54.07297793799915,44.76477200104354,109.94275930461261,99.75457417809764,76.07274599544988,65.61775276795343,41.06213269030917
Colorado,2016,22.3,71.42134325253984,89.71372521146762,90.53313706485659,20.2,84.58230330463878,76.7275584539314,61.13976332752011,60.97754316449489,67.51700111208886,36.63660912108225,84.23035644309769,3482.5389705115936,62.40746887993712,95.75172856960397,47.699872816440134,90.03118346882947,81.8145250426292,73.48716602103104,43.780387532794855,1730.6111334621392,111.02491511559674,60.910769405171635,68.99972961233223,166.8992333296178,67.8057977317767,0.0,99.09314489955214,92.02710716430136,69.0408114916688,71.13184963921002,56.1182480100892
Connecticut,2016,26,75.84567425048479,102.42905634380162,94.70242627179078,25.3,92.87468598156416,97.97519002578932,73.22553049691362,63.80431668867678,75.95662625109998,65.77936637648858,93.33634092343259,2121.5467291622354,81.60976699684085,101.61407929835524,55.50530655003943,97.01034497804105,95.33758703314642,92.19299009911167,43.780387532794855,1491.271295855673,93.59125075860221,54.86618923519277,84.65513044874375,128.92216227257902,46.34826680399927,0.0,123.68560421768917,121.53198121697812,85.022480818444,79.95440463322056,51.32766586288646
Delaware,2016,30.7,91.01480910058174,117.2636093315246,99.4673282225727,29.7,103.93119621746465,112.73048972846843,93.84242743293784,71.88081247205358,92.23304616204997,97.4200742537869,110.41006182406049,2902.1158087596614,114.0136450691159,106.82505772391191,60.70892903910563,0.0,97.366046331724,65.47038427328219,62.790292645718935,1822.6649171569338,128.45857947259128,75.32476827204431,97.99121264272394,116.92940299140889,0.0,0.0,128.7487576067174,108.18453819314816,127.85335461420149,87.12273056585414,49.274559228371004
District of Columbia,2016,22.6,84.69433624637468,88.30091064120829,88.15068608946564,22.1,103.37837070566962,82.03946634689588,68.2490381330457,57.74694485114417,65.10567964379997,75.77116886405648,80.81561226297211,3702.6994801416367,72.60868975454223,93.14623935682563,57.23984737972816,75.37494429948514,71.67222854974128,60.125863108116306,54.72548441599357,3682.1513477917856,100.93174101417885,61.375737110554624,69.57955927294007,152.90768083491932,64.37259278333232,0.0,92.58337625651588,87.10962815552189,65.20521085324276,81.60863369459754,45.852714837511904
Florida,2016,27.4,80.27000524842973,100.30983448841262,92.91558804024756,26.8,93.42751149335918,89.71222219228902,78.9129503413341,67.0349150020275,65.7085100108722,60.78346513270464,85.93772853316048,3802.772439064384,73.80883338684872,97.70584547918773,52.46986009808415,94.21868037435642,86.54759673931022,69.47877514715663,61.06211945363493,2761.613510843839,102.76686357807301,58.58593087825669,70.1593889335479,163.9010435093253,80.68031628844318,71.00619007062079,91.86006862951184,93.43210116680977,79.26907986080492,79.95440463322056,46.53708371568372
Georgia,2016,31.4,89.75071452974034,98.19061263302362,87.5550733456179,30.7,94.53316251694922,87.35137423986036,83.88944270520201,66.63109021285865,60.885867074294424,92.42417301000295,82.5229843530349,3562.597337649791,75.60904883530844,88.58663323446353,59.40802341683908,78.16660890316977,82.49067814215506,73.48716602103104,62.790292645718935,2890.4888080165515,116.53028280727922,57.65599546749071,73.63836689719491,125.92397245228649,96.98803979355404,87.21412476065379,92.58337625651588,94.13459816806397,81.82614695308895,93.73964681136204,43.11523932482463
Idaho,2016,27.4,72.05339053796054,98.89701991815329,106.6146811487456,28.6,96.74446456412932,86.17095026364603,85.31129766630713,71.0731628937159,96.45285873155552,52.4569630597314,96.18196107353724,1541.123567410303,71.40854612223575,106.82505772391191,55.93894175746161,103.98950648725264,107.50834282461192,103.5500975750892,51.269138031825555,1086.2346475985767,127.5410181906442,65.56044645900154,96.83155332150827,113.93121317111635,0.0,0.0,114.28260506663679,120.82948421572391,85.661747591515,89.32836931435676,58.85572352277647
Illinois,2016,31.6,79.63795796300903,93.24576163711596,85.17262237022693,30.8,104.48402172925967,83.2198903231102,74.64738545801873,60.97754316449489,65.10567964379997,72.44056803486717,82.5229843530349,2822.0574416214636,66.00789977685658,93.79761166002021,56.37257696488379,81.65618965777557,81.8145250426292,70.14684029280235,70.27904314474964,3221.8824293178122,100.93174101417885,67.88528498591648,76.53751520023408,118.92819620493724,72.9556051544433,73.32160931205406,102.7096830345723,105.37455018813132,77.99054631466291,76.64594651046662,42.430870446652804
Indiana,2016,32.5,76.47772153590549,105.96109276944995,93.5112007840953,31.3,95.08598802874425,97.97519002578932,98.81891979680576,66.22726542368981,94.04153726326663,77.43646927865112,92.19809286339073,2521.838564853223,70.8084743060825,101.61407929835524,62.009834661372174,94.21868037435642,116.97448621797398,106.22235815767213,73.15933179822298,1712.2003767231802,118.3654053711734,65.56044645900154,91.03325671542993,110.93302335082382,105.571052164665,114.99915565785322,107.77283642360051,109.58953219565657,88.85808145687004,81.05722400747189,45.16834595934009
Iowa,2016,32,72.68543782338125,100.30983448841262,85.76823511407467,32.1,96.1916390523343,89.12201020418185,86.02222514685968,66.22726542368981,92.83587652912219,76.6038190713538,95.04371301349538,1801.313260609445,79.20947973222789,104.87094081432816,63.74437549106091,99.10409343080453,93.30912773456883,108.22655359460934,59.33394626155092,1031.0023773817,141.30443741985042,70.67509121821442,87.55427875178292,125.92397245228649,121.87877566977586,0.0,107.04952879659648,104.67205318687711,79.26907986080492,81.05722400747189,50.64329698471464
Kansas,2016,31.2,73.31748510880196,62.8702483765403,51.222695970905704,34.2,48.648645037962176,50.75823097721615,49.76492363867916,48.86279948942968,48.829259732849984,33.30600829189295,64.31101539236514,920.6712220892719,48.00574529225933,54.06390116515054,32.95627576408591,69.0936989411947,64.91069755448267,74.15523116667677,38.01981022584816,662.7872426025214,67.89953486408396,37.662384136022155,48.12586183045021,59.96379640585071,53.214676700888056,0.0,57.86461016032242,53.38977209531987,56.89474280331966,45.76700403142971,21.899804101498223
Kentucky,2016,34.2,80.27000524842973,116.55720204639495,106.6146811487456,34.6,99.50859212310445,104.46752189496813,112.32654192730439,73.0922868395601,86.20474249132775,98.25272446108421,90.49072077332792,1881.3716277476426,106.21271145912375,99.0085900855769,72.41707963950456,99.10409343080453,118.3267924170257,79.49975233184267,79.49596683586434,1528.092809333591,122.95321178090879,64.16554334285256,91.61308637603776,97.9408674628895,148.4861140202199,77.18064138110955,101.26306778056424,101.15956818060606,95.25074918758011,104.21643086674956,43.799608202996446
Louisiana,2016,35.5,107.44803852152012,108.08031462483895,98.87171547872497,36.2,85.1351288164338,93.253494120932,99.52984727735831,72.28463726122243,75.95662625109998,133.2240331675718,89.92159674330699,2141.5613209467847,108.61299872373672,98.3572177823823,66.77982194301619,83.05202195961787,104.12757732698262,74.82329631232251,65.0945235684976,1730.6111334621392,130.29370203648543,61.375737110554624,81.17615248509675,99.93966067641786,96.12973855644293,0.0,96.19991439153603,98.34958017558922,86.30101436458601,97.59951462124165,40.377763812137346
Maine,2016,29.9,72.05339053796054,120.08923847204328,104.82784291720237,30,94.53316251694922,95.0241300852535,90.28779003017505,70.66933810454707,89.21889432668887,72.44056803486717,94.47458898347445,1360.9922413493584,82.2098388129941,108.12780233030108,58.974388209416894,72.5832796958005,106.83218972508605,89.52072951652872,47.23673391696287,1233.520701510248,134.88150844622083,53.93625382442679,87.55427875178292,98.94026406965368,0.0,0.0,124.40891184469321,108.18453819314816,84.38321404537298,78.3001755718436,67.0681500608383
Maryland,2016,29.9,84.06228896095396,91.83294706685662,97.68048999102949,28.9,87.89925637540892,96.20455406146783,78.20202286078154,60.169893586157215,89.82172469376108,82.43237052243506,96.18196107353724,2882.101216975112,80.40962336453437,98.3572177823823,54.638036135195065,128.4165717694932,92.63297463504297,84.84427349700856,48.96490710904688,1638.5573497673445,106.43710870586135,62.3056725213206,74.21819655780274,117.92879959817307,64.37259278333232,0.0,112.11268218562469,106.77954419063974,83.10468049923097,83.26286275597452,49.95892810654282
Massachusetts,2016,23.6,72.68543782338125,89.71372521146762,85.17262237022693,24.3,100.61424314669449,87.35137423986036,63.27254576917778,60.169893586157215,71.1339833145222,58.28551451081267,89.35247271328606,2401.7510141459265,80.40962336453437,97.05447317599314,51.1689544758176,89.33326731790831,89.92836223693953,76.82749174925972,40.90009887932151,2135.6477817192354,92.67368947665513,62.3056725213206,73.63836689719491,116.92940299140889,63.51429154622122,0.0,107.77283642360051,113.10201720192761,82.46541372615997,76.64594651046662,42.430870446652804
Michigan,2016,32.5,77.74181610674691,101.72264905867195,86.95946060177015,31.2,100.06141763489947,84.99052628743169,84.60037018575457,62.189017532001415,70.53115294744998,78.26911948594844,83.66123241307676,2802.0428498369142,73.20876157069547,97.05447317599314,58.54075300199471,83.05202195961787,90.60451533646538,78.16362204055119,68.55086995266562,2816.845781060716,105.51954742391426,60.445801699788646,74.21819655780274,111.932419957588,86.68842494822086,87.21412476065379,101.26306778056424,101.86206518186027,85.022480818444,81.60863369459754,40.377763812137346
Minnesota,2016,27.8,68.89315411085701,96.77779806276429,89.34191157716111,26.1,90.66338393438406,80.85904237068155,75.35831293857129,58.15076964031301,84.39625139011109,58.28551451081267,85.93772853316048,2321.692647007729,70.8084743060825,98.3572177823823,51.1689544758176,112.36450029830654,94.66143393362056,78.83168718619693,51.269138031825555,1491.271295855673,122.95321178090879,69.28018810206545,71.8988779153714,136.91733512669245,69.5224002059989,0.0,99.09314489955214,106.07704718938552,76.07274599544988,71.13184963921002,54.749510253745555
Mississippi,2016,37.3,103.02370752357517,122.91486761256193,97.68048999102949,35.6,89.00490739899898,113.91091370468277,124.4123090966979,79.95730825543039,90.4245550608333,166.53004145946477,100.73495331370468,1481.0797920566547,113.41357325296265,95.75172856960397,81.08978378794822,76.77077660132746,104.80373042650847,90.18879466217446,68.55086995266562,1841.0756738958928,123.87077306285587,54.40122152980978,92.77274569725343,82.94991836142681,169.94364494799734,0.0,106.32622116959246,99.05207717684344,105.47901755671623,110.28193742513182,39.69339493396553
Missouri,2016,31.7,89.75071452974034,105.96109276944995,94.70242627179078,32.4,96.1916390523343,92.66328213282483,95.97520987459552,65.41961584535214,77.16228698524442,81.59972031513774,85.36860450313955,2842.0720334060134,91.81098787144596,97.05447317599314,59.40802341683908,110.96866799646423,108.86064902366364,94.86525068169462,70.27904314474964,1914.7187008517285,124.78833434480295,68.81522039668246,85.81478976995942,117.92879959817307,109.8625583502205,107.28109151974228,104.15629828858036,98.34958017558922,75.43347922237888,84.36568213022584,41.74650156848099
Montana,2016,25.5,71.42134325253984,113.0251656207466,95.89365175948626,23.6,98.4029410995144,84.40031429932453,85.31129766630713,73.0922868395601,80.17643882060553,59.950814925407315,95.04371301349538,1020.7441810120188,73.20876157069547,113.99015305905235,59.40802341683908,0.0,95.33758703314642,70.14684029280235,42.62827207140552,736.430269558357,129.37614075453837,59.05089858363968,91.61308637603776,163.9010435093253,0.0,0.0,99.09314489955214,108.18453819314816,75.43347922237888,85.46850150447716,56.1182480100892
Nebraska,2016,32,86.5904781026368,104.54827819919062,97.08487724718175,31.4,101.71989417028455,83.2198903231102,83.17851522464944,68.24638936953401,77.16228698524442,83.26502072973238,90.49072077332792,2021.4737702394882,74.40890520300195,104.87094081432816,60.27529383168344,116.5519972038335,91.95682153551711,79.49975233184267,63.36635037641361,1417.6282688998374,134.88150844622083,84.6241223797041,87.55427875178292,135.91793851992827,0.0,0.0,108.49614405060454,83.59714314925084,81.18688018001794,83.81427244310018,46.53708371568372
Nevada,2016,25.8,80.90205253385044,85.47528150068963,85.17262237022693,26.7,86.79360535181888,84.40031429932453,82.46758774409689,62.59284232117025,69.92832258037775,54.122263474326054,80.81561226297211,2621.9115237759697,72.60868975454223,95.10035626640939,58.974388209416894,105.38533878909496,79.78606574405161,57.453602525533356,67.39875449127629,1822.6649171569338,100.93174101417885,57.65599546749071,74.79802621841057,149.90949101462678,0.0,0.0,101.98637540756827,92.72960416555556,82.46541372615997,76.09453682334095,49.274559228371004
New Hampshire,2016,26.6,69.52520139627772,101.01624177354229,95.89365175948626,26.3,97.29729007592435,94.43391809714633,79.62387782188665,71.47698768288474,84.9990817571833,53.28961326702873,99.02758122364189,1360.9922413493584,76.20912065146167,116.59564227183068,50.30168406097323,110.27075184554307,96.01374013267228,88.18459922523725,44.356445263489526,1288.752971727125,128.45857947259128,60.910769405171635,93.35257535786126,95.94207424936114,0.0,0.0,93.30668388351991,125.74696322450338,72.87641213009485,76.09453682334095,55.43387913191738
New Jersey,2016,27.4,81.53409981927115,88.30091064120829,84.5770096263792,25.6,93.9803370051542,96.79476604957499,69.67089309415081,62.189017532001415,67.51700111208886,68.27731699838056,89.92159674330699,2321.692647007729,84.01005426145382,100.31133469196607,58.107117794572524,99.80200958172568,80.46221884357747,67.4745797102194,40.32404114862684,1399.2175121608784,82.58051537523725,55.79612464595875,74.21819655780274,75.95414211407757,54.93127917511025,21.610579586710674,122.23898896368112,93.43210116680977,97.80781627986414,75.54312713621529,47.221452593855545
New Mexico,2016,28.3,80.90205253385044,106.66750005457962,111.97519584337526,28.8,84.02947779284375,87.94158622796752,101.662629719016,68.65021415870287,89.21889432668887,52.4569630597314,97.88933316360003,1541.123567410303,82.80991062914734,92.49486705363104,72.41707963950456,70.48953124303702,100.7468118293533,73.48716602103104,57.60577306946691,1343.9852419440017,110.10735383364967,56.26109235134174,84.65513044874375,103.93724710347456,0.0,0.0,108.49614405060454,115.91200520694444,83.74394727230198,82.71145306884887,75.96494547707196
New York,2016,25.5,85.32638353179539,83.35605964530063,79.21649493174952,25,99.50859212310445,81.4492543587887,63.27254576917778,60.169893586157215,60.885867074294424,69.10996720567788,82.5229843530349,1961.42999488584,73.20876157069547,97.70584547918773,54.20440092777288,71.88536354487934,73.024534748793,55.449407088596146,43.20432980210018,1730.6111334621392,81.66295409329017,52.541350708277825,66.6804109699009,76.95353872084175,54.07297793799915,46.30838482866573,101.98637540756827,95.53959217057239,76.71201276852089,72.786078700587,36.95591942127825
North Carolina,2016,31.8,82.79819439011256,96.77779806276429,89.93752432100885,30.1,89.00490739899898,92.07307014471768,86.73315262741224,65.01579105618329,74.14813514988332,83.26502072973238,91.05984480334885,2561.8677484223217,81.60976699684085,93.14623935682563,60.70892903910563,97.01034497804105,91.28066843599125,78.83168718619693,62.790292645718935,1988.3617278075642,116.53028280727922,57.65599546749071,78.27700418205758,118.92819620493724,83.25521999977647,87.98593117446488,106.32622116959246,89.21711915928451,78.62981308773391,89.87977900148243,53.38077249740192
North Dakota,2016,31.9,78.3738633921676,119.3828311869136,89.34191157716111,31,110.56510235900494,103.2870979187538,90.28779003017505,73.0922868395601,118.75758231322774,76.6038190713538,108.7026897339977,1821.3278523939944,98.41177784913161,123.10936530377653,68.51436277270491,0.0,121.03140481512914,130.27270340091866,56.45365760807758,1307.1637284660837,183.5122563894161,92.99354107659792,96.83155332150827,155.90587065521186,0.0,0.0,109.21945167760857,113.10201720192761,91.41514854915407,102.01079211824693,136.87377563436388
